starttime	seconds	ctime	dtime	ttime	wait
Tue Jan 31 01:05:16 2023	1675105516	0	15	15	15
Tue Jan 31 01:05:18 2023	1675105518	0	18	18	17
Tue Jan 31 01:05:15 2023	1675105515	0	18	18	17
Tue Jan 31 01:05:14 2023	1675105514	0	18	18	18
Tue Jan 31 01:05:16 2023	1675105516	0	19	19	18
Tue Jan 31 01:05:19 2023	1675105519	0	19	19	19
Tue Jan 31 01:05:14 2023	1675105514	0	19	19	18
Tue Jan 31 01:05:19 2023	1675105519	0	20	20	19
Tue Jan 31 01:05:18 2023	1675105518	0	20	20	18
Tue Jan 31 01:05:16 2023	1675105516	0	20	20	19
Tue Jan 31 01:05:16 2023	1675105516	0	20	20	19
Tue Jan 31 01:05:15 2023	1675105515	0	21	21	19
Tue Jan 31 01:05:15 2023	1675105515	0	21	21	20
Tue Jan 31 01:05:19 2023	1675105519	0	21	21	20
Tue Jan 31 01:05:13 2023	1675105513	0	21	21	18
Tue Jan 31 01:05:19 2023	1675105519	0	21	21	20
Tue Jan 31 01:05:14 2023	1675105514	0	21	21	18
Tue Jan 31 01:05:18 2023	1675105518	0	21	21	21
Tue Jan 31 01:05:16 2023	1675105516	0	21	21	21
Tue Jan 31 01:05:15 2023	1675105515	0	22	22	21
Tue Jan 31 01:05:15 2023	1675105515	0	22	22	21
Tue Jan 31 01:05:15 2023	1675105515	0	22	22	19
Tue Jan 31 01:05:16 2023	1675105516	0	22	22	22
Tue Jan 31 01:05:19 2023	1675105519	0	22	22	21
Tue Jan 31 01:05:18 2023	1675105518	0	22	22	22
Tue Jan 31 01:05:15 2023	1675105515	0	22	23	22
Tue Jan 31 01:05:14 2023	1675105514	0	22	23	22
Tue Jan 31 01:05:14 2023	1675105514	0	23	23	22
Tue Jan 31 01:05:16 2023	1675105516	0	23	23	22
Tue Jan 31 01:05:15 2023	1675105515	0	23	23	22
Tue Jan 31 01:05:14 2023	1675105514	0	23	23	20
Tue Jan 31 01:05:15 2023	1675105515	0	23	23	22
Tue Jan 31 01:05:18 2023	1675105518	0	23	23	21
Tue Jan 31 01:05:19 2023	1675105519	0	23	23	23
Tue Jan 31 01:05:14 2023	1675105514	0	23	23	23
Tue Jan 31 01:05:18 2023	1675105518	0	23	23	21
Tue Jan 31 01:05:18 2023	1675105518	0	23	23	22
Tue Jan 31 01:05:14 2023	1675105514	0	23	23	22
Tue Jan 31 01:05:18 2023	1675105518	0	23	24	23
Tue Jan 31 01:05:15 2023	1675105515	0	24	24	23
Tue Jan 31 01:05:19 2023	1675105519	0	24	24	24
Tue Jan 31 01:05:18 2023	1675105518	0	24	24	23
Tue Jan 31 01:05:18 2023	1675105518	0	24	24	24
Tue Jan 31 01:05:18 2023	1675105518	0	24	24	24
Tue Jan 31 01:05:19 2023	1675105519	0	24	25	24
Tue Jan 31 01:05:18 2023	1675105518	0	25	25	24
Tue Jan 31 01:05:15 2023	1675105515	0	25	25	24
Tue Jan 31 01:05:20 2023	1675105520	0	25	25	24
Tue Jan 31 01:05:19 2023	1675105519	0	25	25	24
Tue Jan 31 01:05:18 2023	1675105518	0	25	25	24
