starttime	seconds	ctime	dtime	ttime	wait
Tue Jan 31 01:04:39 2023	1675105479	1	20	20	19
Tue Jan 31 01:04:33 2023	1675105473	0	22	22	18
Tue Jan 31 01:04:39 2023	1675105479	0	23	23	22
Tue Jan 31 01:04:35 2023	1675105475	0	32	32	28
Tue Jan 31 01:04:35 2023	1675105475	0	34	34	34
Tue Jan 31 01:04:39 2023	1675105479	0	35	35	34
Tue Jan 31 01:04:39 2023	1675105479	0	35	35	34
Tue Jan 31 01:04:35 2023	1675105475	0	40	40	39
Tue Jan 31 01:04:35 2023	1675105475	0	41	41	40
Tue Jan 31 01:04:40 2023	1675105480	0	44	44	42
Tue Jan 31 01:04:39 2023	1675105479	1	44	45	36
Tue Jan 31 01:04:39 2023	1675105479	0	48	48	48
Tue Jan 31 01:04:35 2023	1675105475	0	50	50	48
Tue Jan 31 01:04:34 2023	1675105474	0	51	51	36
Tue Jan 31 01:04:35 2023	1675105475	0	51	52	51
Tue Jan 31 01:04:39 2023	1675105479	0	57	57	55
Tue Jan 31 01:04:35 2023	1675105475	0	59	59	49
Tue Jan 31 01:04:39 2023	1675105479	0	59	60	58
Tue Jan 31 01:04:40 2023	1675105480	0	60	60	49
Tue Jan 31 01:04:40 2023	1675105480	1	60	61	33
Tue Jan 31 01:04:39 2023	1675105479	0	62	62	61
Tue Jan 31 01:04:39 2023	1675105479	0	62	62	61
Tue Jan 31 01:04:40 2023	1675105480	0	63	63	48
Tue Jan 31 01:04:39 2023	1675105479	0	66	66	64
Tue Jan 31 01:04:40 2023	1675105480	0	69	69	69
Tue Jan 31 01:04:34 2023	1675105474	0	70	70	70
Tue Jan 31 01:04:35 2023	1675105475	4	69	73	69
Tue Jan 31 01:04:40 2023	1675105480	0	74	74	57
Tue Jan 31 01:04:39 2023	1675105479	0	74	74	72
Tue Jan 31 01:04:35 2023	1675105475	0	75	75	75
Tue Jan 31 01:04:40 2023	1675105480	0	76	76	75
Tue Jan 31 01:04:34 2023	1675105474	5	75	79	71
Tue Jan 31 01:04:34 2023	1675105474	0	80	80	70
Tue Jan 31 01:04:34 2023	1675105474	0	86	86	82
Tue Jan 31 01:04:35 2023	1675105475	0	86	86	81
Tue Jan 31 01:04:40 2023	1675105480	0	87	87	69
Tue Jan 31 01:04:40 2023	1675105480	0	87	87	87
Tue Jan 31 01:04:39 2023	1675105479	0	87	87	86
Tue Jan 31 01:04:34 2023	1675105474	3	85	88	66
Tue Jan 31 01:04:39 2023	1675105479	0	88	88	87
Tue Jan 31 01:04:35 2023	1675105475	0	91	91	90
Tue Jan 31 01:04:35 2023	1675105475	1	92	93	79
Tue Jan 31 01:04:35 2023	1675105475	0	93	93	92
Tue Jan 31 01:04:39 2023	1675105479	0	94	94	93
